Month,count,mean,std,min,25%,50%,75%,max
1,4.0,241532.25,12573.115163580847,223197.0,239351.25,245626.5,247807.5,251679.0
2,5.0,224612.0,11094.16096421897,205320.0,226947.0,227759.0,229346.0,233688.0
3,5.0,259104.8,21613.192156643592,220982.0,262957.0,268343.0,270705.0,272537.0
4,4.0,247729.75,54544.42643310741,165952.0,246136.0,273995.5,275589.25,276976.0
5,4.0,265826.25,35404.94269048697,212784.0,264144.0,282488.5,284170.75,285544.0
6,4.0,273603.75,17586.237012220663,247332.0,272050.5,281469.0,283022.25,284145.0
7,4.0,283140.75,15464.313097688282,260098.0,281449.0,289777.5,291469.25,292910.0
8,4.0,276713.25,16043.115686071289,252774.0,275112.0,283773.5,285374.75,286532.0
9,4.0,262223.0,10132.177982382005,247208.0,260711.0,266323.0,267835.0,269038.0
10,4.0,275565.0,11117.175000871399,259076.0,273935.0,280135.0,281765.0,282914.0
11,4.0,253470.5,13321.93055328944,233606.0,252020.75,259316.0,260765.75,261644.0
12,4.0,263674.75,13110.204152364167,244182.0,262014.0,269164.0,270824.75,272189.0
